aditional devices,price,commission,discount price,discount commission
Sensore di apertura,79,25,39.0,10
2 sensori di apertura,119,35,59.0,10
Sensore di movimento a tenda,119,35,59.0,10
Sensore di movimento con fotocamera,249,50,124.0,10
2 sensori di movimento con fotocamera,379,80,189.0,10
Sensore di movimento,119,35,59.0,10
Sensore di movimento esterno con fotocamera,399,80,199.0,20
2 sensori di movimento esterno con fotocamera,699,120,349.0,20
Sirena interna,159,50,79.0,10
Sirena esterna,189,50,94.0,10
Telecomando,79,25,39.0,10
SOS antipanico,79,25,39.0,10
Rilevatore di fumo,129,35,64.0,10
Rilevatore di allagamento,99,25,49.0,10
Rilevatore di gas,179,50,89.0,10
Presa SMART,139,35,69.0,10
Rilevatore qualita dell'aria,119,35,59.0,10
Tastiera,179,50,89.0,10
Ripetitore di segnale wireless,119,35,59.0,10
Modulo voce,159,35,79.0,10
Campanello,159,35,79.0,10
Modulo voce e Campanello,219,50,109.0,10